N,p,q
120118,41,120077
120120,17,120103
120122,19,120103
120124,3,120121
120126,5,120121
120128,7,120121
120130,53,120077
120132,11,120121
120134,13,120121
120136,59,120077
120138,17,120121
120140,19,120121
120142,101,120041
120144,23,120121
120146,43,120103
120148,71,120077
120150,29,120121
120152,31,120121
120154,107,120047
120156,53,120103
120158,37,120121
120160,3,120157
120162,5,120157
120164,7,120157
120166,3,120163
120168,5,120163
120170,3,120167
120172,5,120167
120174,7,120167
120176,13,120163
120178,11,120167
120180,13,120167
120182,19,120163
120184,3,120181
120186,5,120181
120188,7,120181
120190,23,120167
120192,11,120181
120194,13,120181
120196,3,120193
120198,5,120193
120200,7,120193
120202,3,120199
120204,5,120199
120206,7,120199
120208,41,120167
120210,11,120199
120212,3,120209
120214,5,120209
120216,7,120209
120218,19,120199
120220,11,120209
120222,13,120209
120224,31,120193
120226,3,120223
120228,5,120223
120230,7,120223
120232,23,120209
120234,11,120223
120236,3,120233
120238,5,120233
120240,7,120233
120242,19,120223
120244,11,120233
120246,13,120233
120248,67,120181
120250,3,120247
120252,5,120247
120254,7,120247
120256,23,120233
120258,11,120247
120260,13,120247
120262,29,120233
120264,17,120247
120266,19,120247
120268,59,120209
120270,23,120247
120272,73,120199
120274,41,120233
120276,29,120247
120278,31,120247
120280,3,120277
120282,5,120277
120284,7,120277
120286,3,120283
120288,5,120283
120290,7,120283
120292,59,120233
120294,11,120283
120296,3,120293
120298,5,120293
120300,7,120293
120302,3,120299
120304,5,120299
120306,7,120299
120308,31,120277
120310,11,120299
120312,13,120299
120314,31,120283
120316,17,120299
120318,19,120299
120320,37,120283
120322,3,120319
120324,5,120319
120326,7,120319
120328,29,120299
120330,11,120319
120332,13,120319
120334,3,120331
120336,5,120331
120338,7,120331
120340,41,120299
120342,11,120331
120344,13,120331
120346,47,120299
120348,17,120331
120350,19,120331
120352,3,120349
120354,5,120349
120356,7,120349
120358,59,120299
120360,11,120349
120362,13,120349
120364,71,120293
120366,17,120349
120368,19,120349
120370,71,120299
120372,23,120349
120374,3,120371
120376,5,120371
120378,7,120371
120380,31,120349
120382,11,120371
120384,13,120371
120386,3,120383
120388,5,120383
120390,7,120383
120392,43,120349
120394,3,120391
120396,5,120391
120398,7,120391
120400,3,120397
120402,5,120397
120404,3,120401
120406,5,120401
120408,7,120401
120410,13,120397
120412,11,120401
120414,13,120401
120416,3,120413
120418,5,120413
120420,7,120413
120422,31,120391
120424,11,120413
120426,13,120413
120428,31,120397
120430,3,120427
120432,5,120427
120434,3,120431
120436,5,120431
120438,7,120431
120440,13,120427
120442,11,120431
120444,13,120431
120446,19,120427
120448,17,120431
120450,19,120431
120452,61,120391
120454,23,120431
120456,29,120427
120458,31,120427
120460,29,120431
120462,31,120431
120464,37,120427
120466,53,120413
120468,37,120431
120470,43,120427
120472,41,120431
120474,43,120431
120476,3,120473
120478,5,120473
120480,7,120473
120482,151,120331
120484,11,120473
120486,13,120473
120488,61,120427
120490,17,120473
120492,19,120473
120494,67,120427
120496,23,120473
120498,67,120431
120500,73,120427
120502,29,120473
120504,31,120473
120506,3,120503
120508,5,120503
120510,7,120503
120512,163,120349
120514,3,120511
120516,5,120511
120518,7,120511
120520,17,120503
120522,11,120511
120524,13,120511
120526,23,120503
120528,17,120511
120530,19,120511
120532,29,120503
120534,23,120511
120536,109,120427
120538,107,120431
120540,29,120511
120542,3,120539
120544,5,120539
120546,7,120539
120548,37,120511
120550,11,120539
120552,13,120539
120554,3,120551
120556,5,120551
120558,7,120551
120560,3,120557
120562,5,120557
120564,7,120557
120566,3,120563
120568,5,120563
120570,7,120563
120572,3,120569
120574,5,120569
120576,7,120569
120578,67,120511
120580,3,120577
120582,5,120577
120584,7,120577
120586,17,120569
120588,11,120577
120590,3,120587
120592,5,120587
120594,7,120587
120596,19,120577
120598,11,120587
120600,13,120587
120602,211,120391
120604,17,120587
120606,19,120587
120608,31,120577
120610,3,120607
120612,5,120607
120614,7,120607
120616,29,120587
120618,11,120607
120620,13,120607
120622,3,120619
120624,5,120619
120626,3,120623
120628,5,120623
120630,7,120623
120632,13,120619
120634,11,120623
120636,13,120623
120638,19,120619
120640,17,120623
120642,19,120623
120644,3,120641
120646,5,120641
120648,7,120641
120650,3,120647
120652,5,120647
120654,7,120647
120656,37,120619
120658,11,120647
120660,13,120647
120662,43,120619
120664,3,120661
120666,5,120661
120668,7,120661
120670,23,120647
120672,11,120661
120674,3,120671
120676,5,120671
120678,7,120671
120680,3,120677
120682,5,120677
120684,7,120677
120686,67,120619
120688,11,120677
120690,13,120677
120692,3,120689
120694,3,120691
120696,5,120691
120698,7,120691
120700,11,120689
120702,11,120691
120704,13,120691
120706,17,120689
120708,17,120691
120710,19,120691
120712,3,120709
120714,5,120709
120716,3,120713
120718,5,120713
120720,7,120713
120722,13,120709
120724,3,120721
120726,5,120721
120728,7,120721
120730,17,120713
120732,11,120721
120734,13,120721
120736,23,120713
120738,17,120721
120740,3,120737
120742,3,120739
120744,5,120739
120746,7,120739
120748,11,120737
120750,11,120739
120752,3,120749
120754,5,120749
120756,7,120749
120758,19,120739
120760,11,120749
120762,13,120749
120764,43,120721
120766,3,120763
120768,5,120763
120770,3,120767
120772,5,120767
120774,7,120767
120776,13,120763
120778,11,120767
120780,13,120767
120782,3,120779
120784,5,120779
120786,7,120779
120788,67,120721
120790,11,120779
120792,13,120779
120794,31,120763
120796,17,120779
120798,19,120779
120800,37,120763
120802,23,120779
120804,37,120767
120806,43,120763
120808,29,120779
120810,31,120779
120812,73,120739
120814,3,120811
120816,5,120811
120818,7,120811
120820,3,120817
120822,5,120817
120824,7,120817
120826,3,120823
120828,5,120823
120830,7,120823
120832,3,120829
120834,5,120829
120836,3,120833
120838,5,120833
120840,7,120833
120842,13,120829
120844,11,120833
120846,13,120833
120848,19,120829
120850,3,120847
120852,5,120847
120854,3,120851
120856,5,120851
120858,7,120851
120860,13,120847
120862,11,120851
120864,13,120851
120866,3,120863
120868,5,120863
120870,7,120863
120872,43,120829
120874,3,120871
120876,5,120871
120878,7,120871
120880,3,120877
120882,5,120877
120884,7,120877
120886,23,120863
120888,11,120877
120890,13,120877
120892,3,120889
120894,5,120889
120896,7,120889
120898,47,120851
120900,11,120889
120902,3,120899
120904,5,120899
120906,7,120899
120908,19,120889
120910,3,120907
120912,5,120907
120914,7,120907
120916,17,120899
120918,11,120907
120920,3,120917
120922,3,120919
120924,5,120919
120926,7,120919
120928,11,120917
120930,11,120919
120932,3,120929
120934,5,120929
120936,7,120929
120938,19,120919
120940,3,120937
120942,5,120937
120944,3,120941
120946,3,120943
120948,5,120943
120950,3,120947
120952,5,120947
120954,7,120947
120956,13,120943
120958,11,120947
120960,13,120947
120962,19,120943
120964,17,120947
120966,19,120947
120968,31,120937
120970,23,120947
120972,29,120943
120974,31,120943
120976,29,120947
120978,31,120947
120980,3,120977
120982,5,120977
120984,7,120977
120986,43,120943
120988,11,120977
120990,13,120977
120992,73,120919
120994,17,120977
120996,19,120977
120998,61,120937
121000,3,120997
121002,5,120997
121004,3,121001
121006,5,121001
121008,7,121001
121010,3,121007
121012,5,121007
121014,7,121007
121016,3,121013
121018,5,121013
121020,7,121013
121022,3,121019
121024,3,121021
121026,5,121021
121028,7,121021
121030,11,121019
121032,11,121021
121034,13,121021
121036,17,121019
121038,17,121021
121040,19,121021
121042,3,121039
121044,5,121039
121046,7,121039
121048,29,121019
121050,11,121039
121052,13,121039
121054,41,121013
121056,17,121039
121058,19,121039
121060,41,121019
121062,23,121039
121064,3,121061
121066,3,121063
121068,5,121063
121070,3,121067
121072,5,121067
121074,7,121067
121076,13,121063
121078,11,121067
121080,13,121067
121082,19,121063
121084,3,121081
121086,5,121081
121088,7,121081
121090,23,121067
121092,11,121081
121094,13,121081
121096,29,121067
121098,17,121081
121100,19,121081
121102,41,121061
121104,23,121081
121106,43,121063
121108,41,121067
121110,29,121081
121112,31,121081
121114,47,121067
121116,53,121063
121118,37,121081
121120,53,121067
121122,41,121081
121124,43,121081
121126,3,121123
121128,5,121123
121130,7,121123
121132,71,121061
121134,11,121123
121136,13,121123
121138,71,121067
121140,17,121123
121142,3,121139
121144,5,121139
121146,7,121139
121148,67,121081
121150,11,121139
121152,13,121139
121154,3,121151
121156,5,121151
121158,7,121151
121160,3,121157
121162,5,121157
121164,7,121157
121166,43,121123
121168,11,121157
121170,13,121157
121172,3,121169
121174,3,121171
121176,5,121171
121178,7,121171
121180,11,121169
121182,11,121171
121184,3,121181
121186,5,121181
121188,7,121181
121190,19,121171
121192,3,121189
121194,5,121189
121196,7,121189
121198,17,121181
121200,11,121189
121202,13,121189
121204,23,121181
121206,17,121189
121208,19,121189
121210,29,121181
121212,23,121189
121214,43,121171
121216,47,121169
121218,29,121189
121220,31,121189
121222,41,121181
121224,43,121181
121226,37,121189
121228,47,121181
121230,41,121189
121232,3,121229
121234,5,121229
121236,7,121229
121238,67,121171
121240,11,121229
121242,13,121229
121244,73,121171
121246,17,121229
121248,19,121229
121250,61,121189
121252,23,121229
121254,73,121181
121256,67,121189
121258,29,121229
121260,31,121229
121262,3,121259
121264,5,121259
121266,7,121259
121268,79,121189
121270,3,121267
121272,5,121267
121274,3,121271
121276,5,121271
121278,7,121271
121280,13,121267
121282,11,121271
121284,13,121271
121286,3,121283
121288,5,121283
121290,7,121283
121292,103,121189
121294,3,121291
121296,5,121291
121298,7,121291
121300,17,121283
121302,11,121291
121304,13,121291
121306,23,121283
121308,17,121291
121310,19,121291
121312,3,121309
121314,5,121309
121316,3,121313
121318,5,121313
121320,7,121313
121322,13,121309
121324,3,121321
121326,5,121321
121328,7,121321
121330,3,121327
121332,5,121327
121334,7,121327
121336,3,121333
121338,5,121333
121340,7,121333
121342,29,121313
121344,11,121333
121346,3,121343
121348,5,121343
121350,7,121343
121352,3,121349
121354,3,121351
121356,5,121351
121358,7,121351
121360,3,121357
121362,5,121357
121364,7,121357
121366,17,121349
121368,11,121357
121370,3,121367
121372,3,121369
121374,5,121369
121376,7,121369
121378,11,121367
121380,11,121369
121382,3,121379
121384,5,121379
121386,7,121379
121388,19,121369
121390,11,121379
121392,13,121379
121394,37,121357
121396,17,121379
121398,19,121379
121400,31,121369
121402,23,121379
121404,37,121367
121406,3,121403
121408,5,121403
121410,7,121403
121412,43,121369
121414,11,121403
121416,13,121403
121418,61,121357
121420,17,121403
121422,19,121403
121424,3,121421
121426,5,121421
121428,7,121421
121430,61,121369
121432,11,121421
121434,13,121421
121436,67,121369
121438,17,121421
121440,19,121421
121442,3,121439
121444,3,121441
121446,5,121441
121448,7,121441
121450,3,121447
121452,5,121447
121454,7,121447
121456,3,121453
121458,5,121453
121460,7,121453
121462,23,121439
121464,11,121453
121466,13,121453
121468,29,121439
121470,17,121453
121472,3,121469
121474,5,121469
121476,7,121469
121478,31,121447
121480,11,121469
121482,13,121469
121484,31,121453
121486,17,121469
121488,19,121469
121490,3,121487
121492,5,121487
121494,7,121487
121496,3,121493
121498,5,121493
121500,7,121493
121502,61,121441
121504,3,121501
121506,5,121501
121508,7,121501
121510,3,121507
121512,5,121507
121514,7,121507
121516,23,121493
121518,11,121507
121520,13,121507
121522,29,121493
121524,17,121507
121526,3,121523
121528,5,121523
121530,7,121523
121532,31,121501
121534,3,121531
121536,5,121531
121538,7,121531
121540,17,121523
121542,11,121531
121544,13,121531
121546,23,121523
121548,17,121531
121550,3,121547
121552,5,121547
121554,7,121547
121556,3,121553
121558,5,121553
121560,7,121553
121562,3,121559
121564,5,121559
121566,7,121559
121568,37,121531
121570,11,121559
121572,13,121559
121574,3,121571
121576,5,121571
121578,7,121571
121580,3,121577
121582,3,121579
121584,5,121579
121586,7,121579
121588,11,121577
121590,11,121579
121592,13,121579
121594,3,121591
121596,5,121591
121598,7,121591
121600,23,121577
121602,11,121591
121604,13,121591
121606,29,121577
121608,17,121591
121610,3,121607
121612,3,121609
121614,5,121609
121616,7,121609
121618,11,121607
121620,11,121609
121622,13,121609
121624,3,121621
121626,5,121621
121628,7,121621
121630,23,121607
121632,11,121621
121634,3,121631
121636,3,121633
121638,5,121633
121640,3,121637
121642,5,121637
121644,7,121637
121646,13,121633
121648,11,121637
121650,13,121637
121652,19,121633
121654,17,121637
121656,19,121637
121658,37,121621
121660,23,121637
121662,29,121633
121664,3,121661
121666,5,121661
121668,7,121661
121670,37,121633
121672,11,121661
121674,13,121661
121676,43,121633
121678,17,121661
121680,19,121661
121682,61,121621
121684,23,121661
121686,53,121633
121688,67,121621
121690,3,121687
121692,5,121687
121694,7,121687
121696,59,121637
121698,11,121687
121700,3,121697
121702,5,121697
121704,7,121697
121706,19,121687
121708,11,121697
121710,13,121697
121712,79,121633
121714,3,121711
121716,5,121711
121718,7,121711
121720,23,121697
121722,11,121711
121724,3,121721
121726,5,121721
121728,7,121721
121730,3,121727
121732,5,121727
121734,7,121727
121736,103,121633
121738,11,121727
121740,13,121727
121742,31,121711
121744,17,121727
121746,19,121727
121748,37,121711
121750,23,121727
121752,31,121721
121754,43,121711
121756,29,121727
121758,31,121727
121760,73,121687
121762,41,121721
121764,37,121727
121766,3,121763
121768,5,121763
121770,7,121763
121772,61,121711
121774,11,121763
121776,13,121763
121778,67,121711
121780,17,121763
121782,19,121763
121784,73,121711
121786,23,121763
121788,61,121727
121790,3,121787
121792,3,121789
121794,5,121789
121796,7,121789
121798,11,121787
121800,11,121789
121802,13,121789
121804,17,121787
121806,17,121789
121808,19,121789
121810,23,121787
121812,23,121789
121814,103,121711
121816,29,121787
121818,29,121789
121820,31,121789
121822,59,121763
121824,37,121787
121826,37,121789
121828,41,121787
121830,41,121789
121832,43,121789
121834,47,121787
121836,47,121789
121838,127,121711
121840,53,121787
121842,53,121789
121844,157,121687
121846,3,121843
121848,5,121843
121850,7,121843
121852,89,121763
121854,11,121843
121856,3,121853
121858,5,121853
121860,7,121853
121862,19,121843
121864,11,121853
121866,13,121853
121868,79,121789
121870,3,121867
121872,5,121867
121874,7,121867
121876,23,121853
121878,11,121867
121880,13,121867
121882,29,121853
121884,17,121867
121886,3,121883
121888,5,121883
121890,7,121883
121892,3,121889
121894,5,121889
121896,7,121889
121898,31,121867
121900,11,121889
121902,13,121889
121904,37,121867
121906,17,121889
121908,19,121889
121910,43,121867
121912,3,121909
121914,5,121909
121916,7,121909
121918,29,121889
121920,11,121909
121922,13,121909
121924,3,121921
121926,5,121921
121928,7,121921
121930,41,121889
121932,11,121921
121934,3,121931
121936,5,121931
121938,7,121931
121940,3,121937
121942,5,121937
121944,7,121937
121946,37,121909
121948,11,121937
121950,13,121937
121952,3,121949
121954,3,121951
121956,5,121951
121958,7,121951
121960,11,121949
121962,11,121951
121964,13,121951
121966,3,121963
121968,5,121963
121970,3,121967
121972,5,121967
121974,7,121967
121976,13,121963
121978,11,121967
121980,13,121967
121982,19,121963
121984,17,121967
121986,19,121967
121988,37,121951
121990,23,121967
121992,29,121963
121994,31,121963
121996,3,121993
121998,5,121993
122000,3,121997
122002,5,121997
122004,7,121997
122006,13,121993
122008,11,121997
122010,13,121997
122012,19,121993
122014,3,122011
122016,5,122011
122018,7,122011
122020,23,121997
122022,11,122011
122024,3,122021
122026,5,122021
122028,7,122021
122030,3,122027
122032,3,122029
122034,5,122029
122036,3,122033
122038,5,122033
122040,7,122033
122042,3,122039
122044,3,122041
122046,5,122041
122048,7,122041
122050,11,122039
122052,11,122041
122054,3,122051
122056,3,122053
122058,5,122053
122060,7,122053
122062,11,122051
122064,11,122053
122066,13,122053
122068,17,122051
122070,17,122053
122072,3,122069
122074,5,122069
122076,7,122069
122078,37,122041
122080,11,122069
122082,13,122069
122084,3,122081
122086,5,122081
122088,7,122081
122090,37,122053
122092,11,122081
122094,13,122081
122096,43,122053
122098,17,122081
122100,19,122081
122102,3,122099
122104,5,122099
122106,7,122099
122108,67,122041
122110,11,122099
122112,13,122099
122114,61,122053
122116,17,122099
122118,19,122099
122120,3,122117
122122,5,122117
122124,7,122117
122126,73,122053
122128,11,122117
122130,13,122117
122132,79,122053
122134,3,122131
122136,5,122131
122138,7,122131
122140,23,122117
122142,11,122131
122144,13,122131
122146,29,122117
122148,17,122131
122150,3,122147
122152,3,122149
122154,5,122149
122156,7,122149
122158,11,122147
122160,11,122149
122162,13,122149
122164,17,122147
122166,17,122149
122168,19,122149
122170,3,122167
122172,5,122167
122174,7,122167
122176,3,122173
122178,5,122173
122180,7,122173
122182,83,122099
122184,11,122173
122186,13,122173
122188,41,122147
122190,17,122173
122192,19,122173
122194,47,122147
122196,23,122173
122198,31,122167
122200,53,122147
122202,29,122173
122204,3,122201
122206,3,122203
122208,5,122203
122210,3,122207
122212,3,122209
122214,5,122209
122216,7,122209
122218,11,122207
122220,11,122209
122222,3,122219
122224,5,122219
122226,7,122219
122228,19,122209
122230,11,122219
122232,13,122219
122234,3,122231
122236,5,122231
122238,7,122231
122240,31,122209
122242,11,122231
122244,13,122231
122246,37,122209
122248,17,122231
122250,19,122231
122252,43,122209
122254,3,122251
122256,5,122251
122258,7,122251
122260,29,122231
122262,11,122251
122264,13,122251
122266,3,122263
122268,5,122263
122270,3,122267
122272,5,122267
122274,7,122267
122276,3,122273
122278,5,122273
122280,7,122273
122282,3,122279
122284,5,122279
122286,7,122279
122288,37,122251
122290,11,122279
122292,13,122279
122294,31,122263
122296,17,122279
122298,19,122279
122300,37,122263
122302,3,122299
122304,5,122299
122306,7,122299
122308,29,122279
122310,11,122299
122312,13,122299
122314,41,122273
122316,17,122299
122318,19,122299
122320,41,122279
122322,23,122299
122324,3,122321
122326,3,122323
122328,5,122323
122330,3,122327
122332,5,122327
122334,7,122327
122336,13,122323
122338,11,122327
122340,13,122327
122342,19,122323
122344,17,122327
122346,19,122327
122348,97,122251
122350,3,122347
122352,5,122347
122354,7,122347
122356,29,122327
122358,11,122347
122360,13,122347
122362,41,122321
122364,17,122347
122366,3,122363
122368,5,122363
122370,7,122363
122372,73,122299
122374,11,122363
122376,13,122363
122378,31,122347
122380,17,122363
122382,19,122363
122384,37,122347
122386,23,122363
122388,41,122347
122390,3,122387
122392,3,122389
122394,5,122389
122396,3,122393
122398,5,122393
122400,7,122393
122402,3,122399
122404,3,122401
122406,5,122401
122408,7,122401
122410,11,122399
122412,11,122401
122414,13,122401
122416,17,122399
122418,17,122401
122420,19,122401
122422,23,122399
122424,23,122401
122426,37,122389
122428,29,122399
122430,29,122401
122432,31,122401
122434,41,122393
122436,37,122399
122438,37,122401
122440,41,122399
122442,41,122401
122444,43,122401
122446,3,122443
122448,5,122443
122450,7,122443
122452,3,122449
122454,5,122449
122456,3,122453
122458,5,122453
122460,7,122453
122462,13,122449
122464,11,122453
122466,13,122453
122468,19,122449
122470,17,122453
122472,19,122453
122474,3,122471
122476,5,122471
122478,7,122471
122480,3,122477
122482,5,122477
122484,7,122477
122486,37,122449
122488,11,122477
122490,13,122477
122492,3,122489
122494,5,122489
122496,7,122489
122498,97,122401
122500,3,122497
122502,5,122497
122504,3,122501
122506,3,122503
122508,5,122503
122510,7,122503
122512,3,122509
122514,5,122509
122516,7,122509
122518,17,122501
122520,11,122509
122522,13,122509
122524,23,122501
122526,17,122509
122528,19,122509
122530,3,122527
122532,5,122527
122534,7,122527
122536,3,122533
122538,5,122533
122540,7,122533
122542,41,122501
122544,11,122533
122546,13,122533
122548,47,122501
122550,17,122533
122552,19,122533
122554,53,122501
122556,23,122533
122558,31,122527
122560,3,122557
122562,5,122557
122564,3,122561
122566,5,122561
122568,7,122561
122570,13,122557
122572,11,122561
122574,13,122561
122576,19,122557
122578,17,122561
122580,19,122561
122582,3,122579
122584,5,122579
122586,7,122579
122588,31,122557
122590,11,122579
122592,13,122579
122594,37,122557
122596,17,122579
122598,19,122579
122600,3,122597
122602,3,122599
122604,5,122599
122606,7,122599
122608,11,122597
122610,11,122599
122612,3,122609
122614,3,122611
122616,5,122611
122618,7,122611
122620,11,122609
122622,11,122611
122624,13,122611
122626,17,122609
122628,17,122611
122630,19,122611
122632,23,122609
122634,23,122611
122636,37,122599
122638,29,122609
122640,29,122611
122642,31,122611
122644,47,122597
122646,37,122609
122648,37,122611
122650,41,122609
122652,41,122611
122654,3,122651
122656,3,122653
122658,5,122653
122660,7,122653
122662,11,122651
122664,11,122653
122666,3,122663
122668,5,122663
122670,7,122663
122672,19,122653
122674,11,122663
122676,13,122663
122678,67,122611
122680,17,122663
122682,19,122663
122684,31,122653
122686,23,122663
122688,37,122651
122690,37,122653
122692,29,122663
122694,31,122663
122696,3,122693
122698,5,122693
122700,7,122693
122702,103,122599
122704,3,122701
122706,5,122701
122708,7,122701
122710,17,122693
122712,11,122701
122714,13,122701
122716,23,122693
122718,17,122701
122720,19,122701
122722,3,122719
122724,5,122719
122726,7,122719
122728,131,122597
122730,11,122719
122732,13,122719
122734,41,122693
122736,17,122719
122738,19,122719
122740,47,122693
122742,23,122719
122744,3,122741
122746,3,122743
122748,5,122743
122750,7,122743
122752,11,122741
122754,11,122743
122756,3,122753
122758,5,122753
122760,7,122753
122762,19,122743
122764,3,122761
122766,5,122761
122768,7,122761
122770,17,122753
122772,11,122761
122774,13,122761
122776,23,122753
122778,17,122761
122780,3,122777
122782,5,122777
122784,7,122777
122786,43,122743
122788,11,122777
122790,13,122777
122792,3,122789
122794,5,122789
122796,7,122789
122798,37,122761
122800,11,122789
122802,13,122789
122804,43,122761
122806,17,122789
122808,19,122789
122810,67,122743
122812,23,122789
122814,37,122777
122816,73,122743
122818,29,122789
122820,31,122789
122822,3,122819
122824,5,122819
122826,7,122819
122828,67,122761
122830,3,122827
122832,5,122827
122834,7,122827
122836,3,122833
122838,5,122833
122840,7,122833
122842,3,122839
122844,5,122839
122846,7,122839
122848,29,122819
122850,11,122839
122852,3,122849
122854,5,122849
122856,7,122849
122858,19,122839
122860,11,122849
122862,13,122849
122864,3,122861
122866,5,122861
122868,7,122861
122870,3,122867
122872,3,122869
122874,5,122869
122876,7,122869
122878,11,122867
122880,11,122869
122882,13,122869
122884,17,122867
122886,17,122869
122888,19,122869
122890,3,122887
122892,5,122887
122894,3,122891
122896,5,122891
122898,7,122891
122900,13,122887
122902,11,122891
122904,13,122891
122906,19,122887
122908,17,122891
122910,19,122891
122912,43,122869
122914,23,122891
122916,29,122887
122918,31,122887
122920,29,122891
122922,31,122891
122924,3,122921
122926,5,122921
122928,7,122921
122930,43,122887
122932,3,122929
122934,5,122929
122936,7,122929
122938,17,122921
122940,11,122929
122942,3,122939
122944,5,122939
122946,7,122939
122948,19,122929
122950,11,122939
122952,13,122939
122954,67,122887
122956,3,122953
122958,5,122953
122960,3,122957
122962,5,122957
122964,7,122957
122966,3,122963
122968,5,122963
122970,7,122963
122972,19,122953
122974,3,122971
122976,5,122971
122978,7,122971
122980,17,122963
122982,11,122971
122984,13,122971
122986,23,122963
122988,17,122971
122990,19,122971
122992,29,122963
122994,23,122971
122996,43,122953
122998,41,122957
123000,29,122971
123002,31,122971
123004,3,123001
123006,5,123001
123008,7,123001
123010,3,123007
123012,5,123007
123014,7,123007
123016,53,122963
123018,11,123007
123020,3,123017
123022,5,123017
123024,7,123017
123026,19,123007
123028,11,123017
123030,13,123017
123032,31,123001
123034,3,123031
123036,5,123031
123038,7,123031
123040,23,123017
123042,11,123031
123044,13,123031
123046,29,123017
123048,17,123031
123050,19,123031
123052,3,123049
123054,5,123049
123056,7,123049
123058,41,123017
123060,11,123049
123062,3,123059
123064,5,123059
123066,7,123059
123068,19,123049
123070,11,123059
123072,13,123059
123074,43,123031
123076,17,123059
123078,19,123059
123080,3,123077
123082,5,123077
123084,7,123077
123086,3,123083
123088,5,123083
123090,7,123083
123092,43,123049
123094,3,123091
123096,5,123091
123098,7,123091
123100,17,123083
123102,11,123091
123104,13,123091
123106,23,123083
123108,17,123091
123110,19,123091
123112,29,123083
123114,23,123091
123116,3,123113
123118,5,123113
123120,7,123113
123122,31,123091
123124,3,123121
123126,5,123121
123128,7,123121
123130,3,123127
123132,5,123127
123134,7,123127
123136,23,123113
123138,11,123127
123140,13,123127
123142,29,123113
123144,17,123127
123146,3,123143
123148,5,123143
123150,7,123143
123152,31,123121
123154,11,123143
123156,13,123143
123158,31,123127
123160,17,123143
123162,19,123143
123164,37,123127
123166,23,123143
123168,41,123127
123170,43,123127
123172,3,123169
123174,5,123169
123176,7,123169
123178,101,123077
123180,11,123169
123182,13,123169
123184,41,123143
123186,17,123169
123188,19,123169
123190,47,123143
123192,23,123169
123194,3,123191
123196,5,123191
123198,7,123191
123200,31,123169
123202,11,123191
123204,13,123191
123206,3,123203
123208,5,123203
123210,7,123203
123212,3,123209
123214,5,123209
123216,7,123209
123218,97,123121
123220,3,123217
123222,5,123217
123224,7,123217
123226,17,123209
123228,11,123217
123230,13,123217
123232,3,123229
123234,5,123229
123236,7,123229
123238,29,123209
123240,11,123229
123242,3,123239
123244,5,123239
123246,7,123239
123248,19,123229
123250,11,123239
123252,13,123239
123254,37,123217
123256,17,123239
123258,19,123239
123260,31,123229
123262,3,123259
123264,5,123259
123266,7,123259
123268,29,123239
123270,11,123259
123272,3,123269
123274,5,123269
123276,7,123269
123278,19,123259
123280,11,123269
123282,13,123269
123284,67,123217
123286,17,123269
123288,19,123269
123290,31,123259
123292,3,123289
123294,5,123289
123296,7,123289
123298,29,123269
123300,11,123289
123302,13,123289
123304,101,123203
123306,17,123289
123308,19,123289
123310,3,123307
123312,5,123307
123314,3,123311
123316,5,123311
123318,7,123311
123320,13,123307
123322,11,123311
123324,13,123311
123326,3,123323
123328,5,123323
123330,7,123323
123332,43,123289
123334,11,123323
123336,13,123323
123338,31,123307
123340,17,123323
123342,19,123323
123344,3,123341
123346,5,123341
123348,7,123341
123350,43,123307
123352,11,123341
123354,13,123341
123356,67,123289
123358,17,123341
123360,19,123341
123362,73,123289
123364,23,123341
123366,43,123323
123368,61,123307
123370,29,123341
123372,31,123341
123374,67,123307
123376,3,123373
123378,5,123373
123380,3,123377
123382,3,123379
123384,5,123379
123386,7,123379
123388,11,123377
123390,11,123379
123392,13,123379
123394,17,123377
123396,17,123379
123398,19,123379
123400,3,123397
123402,5,123397
123404,3,123401
123406,5,123401
123408,7,123401
123410,3,123407
123412,5,123407
123414,7,123407
123416,19,123397
123418,11,123407
123420,13,123407
123422,3,123419
123424,5,123419
123426,7,123419
123428,31,123397
123430,3,123427
123432,5,123427
123434,7,123427
123436,3,123433
123438,5,123433
123440,7,123433
123442,3,123439
123444,5,123439
123446,7,123439
123448,29,123419
123450,11,123439
123452,3,123449
123454,5,123449
123456,7,123449
123458,19,123439
123460,3,123457
123462,5,123457
123464,7,123457
123466,17,123449
123468,11,123457
123470,13,123457
123472,23,123449
123474,17,123457
123476,19,123457
123478,29,123449
123480,23,123457
123482,3,123479
123484,5,123479
123486,7,123479
123488,31,123457
123490,11,123479
123492,13,123479
123494,3,123491
123496,3,123493
123498,5,123493
123500,7,123493
123502,3,123499
123504,5,123499
123506,3,123503
123508,5,123503
123510,7,123503
123512,13,123499
123514,11,123503
123516,13,123503
123518,19,123499
123520,3,123517
123522,5,123517
123524,7,123517
123526,23,123503
123528,11,123517
123530,3,123527
123532,5,123527
123534,7,123527
123536,19,123517
123538,11,123527
123540,13,123527
123542,43,123499
123544,17,123527
123546,19,123527
123548,31,123517
123550,3,123547
123552,5,123547
123554,3,123551
123556,3,123553
123558,5,123553
123560,7,123553
123562,11,123551
123564,11,123553
123566,13,123553
123568,17,123551
123570,17,123553
123572,19,123553
123574,23,123551
123576,23,123553
123578,31,123547
123580,29,123551
123582,29,123553
123584,3,123581
123586,3,123583
123588,5,123583
123590,7,123583
123592,11,123581
123594,11,123583
123596,3,123593
123598,5,123593
123600,7,123593
123602,19,123583
123604,3,123601
123606,5,123601
123608,7,123601
123610,17,123593
123612,11,123601
123614,13,123601
