N,p,q
100800,13,100787
100802,3,100799
100804,3,100801
100806,5,100801
100808,7,100801
100810,11,100799
100812,11,100801
100814,3,100811
100816,5,100811
100818,7,100811
100820,19,100801
100822,11,100811
100824,13,100811
100826,3,100823
100828,5,100823
100830,7,100823
100832,3,100829
100834,5,100829
100836,7,100829
100838,37,100801
100840,11,100829
100842,13,100829
100844,43,100801
100846,17,100829
100848,19,100829
100850,3,100847
100852,5,100847
100854,7,100847
100856,3,100853
100858,5,100853
100860,7,100853
100862,61,100801
100864,11,100853
100866,13,100853
100868,67,100801
100870,17,100853
100872,19,100853
100874,73,100801
100876,23,100853
100878,31,100847
100880,79,100801
100882,29,100853
100884,31,100853
100886,139,100747
100888,41,100847
100890,37,100853
100892,151,100741
100894,41,100853
100896,43,100853
100898,97,100801
100900,47,100853
100902,73,100829
100904,103,100801
100906,53,100853
100908,61,100847
100910,3,100907
100912,5,100907
100914,7,100907
100916,3,100913
100918,5,100913
100920,7,100913
100922,181,100741
100924,11,100913
100926,13,100913
100928,127,100801
100930,3,100927
100932,5,100927
100934,3,100931
100936,5,100931
100938,7,100931
100940,3,100937
100942,5,100937
100944,7,100937
100946,3,100943
100948,5,100943
100950,7,100943
100952,151,100801
100954,11,100943
100956,13,100943
100958,31,100927
100960,3,100957
100962,5,100957
100964,7,100957
100966,23,100943
100968,11,100957
100970,13,100957
100972,29,100943
100974,17,100957
100976,19,100957
100978,41,100937
100980,23,100957
100982,181,100801
100984,3,100981
100986,5,100981
100988,7,100981
100990,3,100987
100992,5,100987
100994,7,100987
100996,53,100943
100998,11,100987
101000,13,100987
101002,3,100999
101004,5,100999
101006,7,100999
101008,71,100937
101010,11,100999
101012,3,101009
101014,5,101009
101016,7,101009
101018,19,100999
101020,11,101009
101022,13,101009
101024,3,101021
101026,5,101021
101028,7,101021
101030,3,101027
101032,5,101027
101034,7,101027
101036,37,100999
101038,11,101027
101040,13,101027
101042,43,100999
101044,17,101027
101046,19,101027
101048,61,100987
101050,23,101027
101052,31,101021
101054,3,101051
101056,5,101051
101058,7,101051
101060,61,100999
101062,11,101051
101064,13,101051
101066,3,101063
101068,5,101063
101070,7,101063
101072,73,100999
101074,11,101063
101076,13,101063
101078,79,100999
101080,17,101063
101082,19,101063
101084,3,101081
101086,5,101081
101088,7,101081
101090,103,100987
101092,3,101089
101094,5,101089
101096,7,101089
101098,17,101081
101100,11,101089
101102,13,101089
101104,23,101081
101106,17,101089
101108,19,101089
101110,3,101107
101112,5,101107
101114,3,101111
101116,3,101113
101118,5,101113
101120,3,101117
101122,3,101119
101124,5,101119
101126,7,101119
101128,11,101117
101130,11,101119
101132,13,101119
101134,17,101117
101136,17,101119
101138,19,101119
101140,23,101117
101142,23,101119
101144,3,101141
101146,5,101141
101148,7,101141
101150,31,101119
101152,3,101149
101154,5,101149
101156,7,101149
101158,17,101141
101160,11,101149
101162,3,101159
101164,3,101161
101166,5,101161
101168,7,101161
101170,11,101159
101172,11,101161
101174,13,101161
101176,3,101173
101178,5,101173
101180,7,101173
101182,23,101159
101184,11,101173
101186,3,101183
101188,5,101183
101190,7,101183
101192,19,101173
101194,11,101183
101196,13,101183
101198,37,101161
101200,3,101197
101202,5,101197
101204,7,101197
101206,3,101203
101208,5,101203
101210,3,101207
101212,3,101209
101214,5,101209
101216,7,101209
101218,11,101207
101220,11,101209
101222,13,101209
101224,3,101221
101226,5,101221
101228,7,101221
101230,23,101207
101232,11,101221
101234,13,101221
101236,29,101207
101238,17,101221
101240,19,101221
101242,59,101183
101244,23,101221
101246,37,101209
101248,41,101207
101250,29,101221
101252,31,101221
101254,47,101207
101256,47,101209
101258,37,101221
101260,53,101207
101262,41,101221
101264,43,101221
101266,59,101207
101268,47,101221
101270,3,101267
101272,5,101267
101274,7,101267
101276,3,101273
101278,5,101273
101280,7,101273
101282,3,101279
101284,3,101281
101286,5,101281
101288,7,101281
101290,3,101287
101292,5,101287
101294,7,101287
101296,3,101293
101298,5,101293
101300,7,101293
101302,23,101279
101304,11,101293
101306,13,101293
101308,29,101279
101310,17,101293
101312,19,101293
101314,41,101273
101316,23,101293
101318,31,101287
101320,41,101279
101322,29,101293
101324,31,101293
101326,3,101323
101328,5,101323
101330,7,101323
101332,53,101279
