N,sigma_trunc_Q0,sigma_model
1000302,2.6544377394680816,0.0016588642064092503
1000304,1.3357886592444717,0.0008347877070916329
1000306,1.3203238032220197,0.0008251231006360079
1000308,2.732760925009385,0.0017078114946031165
1000310,1.788752010588436,0.00111786260434285
1000312,1.3982557895250696,0.0008738259127947934
1000314,3.387362290045131,0.0021168980434336177
1000316,1.4112068069627801,0.0008819195210736996
1000318,1.506003191250461,0.000941161569381588
1000320,3.5277775144446832,0.0022046491277133403
1000322,1.346396145637876,0.000841416749180794
1000324,1.440404665697496,0.000900166429651981
1000326,2.738873964544638,0.0017116317772666034
1000328,1.5844436467940177,0.0009901821442856041
1000330,1.7740596840254839,0.0011086807824143231
1000332,2.7197159013943284,0.0016996591381077944
1000334,1.3203238032220197,0.0008251231006360079
1000336,1.3355667251616197,0.000834649011615468
1000338,2.6406469021995114,0.0016502457611614707
1000340,1.9564156066127616,0.0012226422848104536
1000342,1.5843876588875812,0.0009901471552057706
1000344,2.6406469021995114,0.0016502457611614707
1000346,1.3203238032220197,0.0008251231006360079
1000348,1.4443715064875031,0.0009026454669641862
1000350,4.067089334201371,0.002541686633089934
1000352,1.3543336038624296,0.00084637718398128
1000354,1.3203238032220197,0.0008251231006360079
1000356,3.1689449728522643,0.0019804003346481076
1000358,1.3203238032220197,0.0008251231006360079
1000360,1.7870193338399711,0.0011167797854104
1000362,3.0783509604216617,0.0019237845164273206
1000364,1.3203238032220197,0.0008251231006360079
1000366,1.3276159062647848,0.000829680227197023
1000368,2.6410068733943537,0.0016504707215444488
1000370,2.190108559074498,0.001368686348442007
1000372,1.3256353538248489,0.0008284425008406366
1000374,2.6624705231470713,0.00166388421389512
1000376,1.4405346465622892,0.0009002476598880184
1000378,1.3268857168361694,0.0008292239026469994
1000380,3.5209241242744644,0.0022003661703559716
1000382,1.4083792250199718,0.0008801524521363232
1000384,1.8256137215680512,0.0011408989604124935
1000386,2.6657605339033736,0.0016659402730752554
1000388,1.398141755794783,0.0008737546485603067
1000390,1.7872620973837425,0.0011169314980489732
1000392,2.682520804863429,0.0016764144360861112
1000394,1.3203238032220197,0.0008251231006360079
1000396,1.3258065022078214,0.0008285494583037093
1000398,3.1688189912475773,0.0019803216037095083
1000400,1.8362403161464012,0.0011475399439699304
1000402,1.4579309776302045,0.000911119322275245
1000404,2.704298072772685,0.001690023920954002
1000406,1.5101770403314396,0.000943769974446224
1000408,1.383505552470957,0.0008646079002864186
1000410,3.5208641398706253,0.0022003286837052236
1000412,1.5843876588875812,0.0009901471552057706
1000414,1.3246300854449398,0.0008278142684626565
1000416,2.821268736276305,0.0017631235623586559
1000418,1.3203238032220197,0.0008251231006360079
1000420,1.7604309799873963,0.0011001636607006079
1000422,2.6406469021995114,0.0016502457611614707
1000424,1.3203238032220197,0.0008251231006360079
1000426,1.6780079011260085,0.001048654185352129
1000428,3.2636241601023253,0.0020395691418443607
1000430,1.7604309799873963,0.0011001636607006079
1000432,1.3664969357229582,0.0008539785360695574
1000434,2.6406469021995114,0.0016502457611614707
1000436,1.3203238032220197,0.0008251231006360079
1000438,1.352698820113651,0.0008453555422958314
1000440,4.235830701315645,0.0026471398557760023
1000442,1.4035137851827988,0.0008771118443743415
1000444,1.3410150809566475,0.0008380539068510086
1000446,2.6406469021995114,0.0016502457611614707
1000448,1.3216708948379543,0.0008259649520123659
1000450,2.106392596208727,0.0013163688982195947
1000452,2.6591872009742747,0.0016618323346780722
1000454,1.818348662533121,0.0011363587347325683
1000456,1.3383020509581884,0.0008363584260007928
1000458,2.6824833468414253,0.001676391027071456
1000460,1.7604309799873963,0.0011001636607006079
1000462,1.3203238032220197,0.0008251231006360079
1000464,2.7985266619344444,0.0017489111314003879
1000466,1.3203238032220197,0.0008251231006360079
1000468,1.5843876588875812,0.0009901471552057706
1000470,3.5208641398706253,0.0022003286837052236
1000472,1.4672020736529452,0.0009169132006238061
1000474,1.3203238032220197,0.0008251231006360079
1000476,2.640682887661338,0.0016502682499144326
1000478,1.3203238032220197,0.0008251231006360079
1000480,1.9753515268322954,0.0012344760979756855
1000482,3.2902460842516024,0.0020562062459739258
1000484,1.4084811883804957,0.000880216173114451
1000486,1.3262822816031967,0.0008288467918585333
1000488,2.6406469021995114,0.0016502457611614707
1000490,1.7604309799873963,0.0011001636607006079
1000492,1.3203238032220197,0.0008251231006360079
1000494,3.0540968386571445,0.001908627146617957
1000496,1.584583605587622,0.0009902696101280423
1000498,1.3203238032220197,0.0008251231006360079
1000500,3.8253466665718574,0.0023906119808086387
1000502,1.4166970979557392,0.0008853506232900266
1000504,1.3203238032220197,0.0008251231006360079
1000506,2.933184593369039,0.0018330642532629195
1000508,1.325776680812627,0.0008285308217222828
1000510,2.11265251943029,0.001320280974367669
1000512,2.654483296769373,0.0016588926769871544
1000514,1.3203238032220197,0.0008251231006360079
1000516,1.4670701069108625,0.0009168307293337011
1000518,2.8216098327963683,0.0017633367272031917
1000520,1.760470962395073,0.0011001886473047367
1000522,1.3763560035090519,0.0008601398614665473
1000524,3.257916234653441,0.002036002031160535
1000526,1.32960893309568,0.0008309257492987573
1000528,1.3203238032220197,0.0008251231006360079
1000530,3.521044076891211,0.002200441133539107
1000532,1.466648446096556,0.000916567216642596
1000534,1.3463961063288608,0.0008414167246150197
1000536,2.7023717548609643,0.0016888200879213394
1000538,1.8058962476867861,0.00112857672313561
1000540,1.8647245956735632,0.0011653409083890217
1000542,2.6685060750126,0.0016676560714176318
1000544,1.3203238032220197,0.0008251231006360079
1000546,1.3832410440263467,0.000864442598390453
1000548,2.6406828850716173,0.0016502682482960125
1000550,1.760480957497392,0.001100194893643549
1000552,1.6916355483772,0.0010571706466374871
1000554,2.7167474400357103,0.0016978040279943783
